Dato,Tall,Hovedtall,Tilleggstall
19.04.1986,3,1,0
19.04.1986,6,0,1
19.04.1986,14,0,1
19.04.1986,15,1,0
19.04.1986,16,1,0
19.04.1986,17,1,0
19.04.1986,23,1,0
19.04.1986,25,1,0
19.04.1986,31,1,0
26.04.1986,3,1,0
26.04.1986,6,0,1
26.04.1986,14,0,1
26.04.1986,15,1,0
26.04.1986,16,1,0
26.04.1986,17,1,0
26.04.1986,23,1,0
26.04.1986,25,1,0
26.04.1986,31,1,0
03.05.1986,8,1,0
03.05.1986,12,1,0
03.05.1986,18,0,1
03.05.1986,21,1,0
03.05.1986,24,1,0
03.05.1986,27,1,0
03.05.1986,28,0,1
03.05.1986,33,1,0
03.05.1986,34,1,0
10.05.1986,2,1,0
10.05.1986,3,1,0
10.05.1986,10,1,0
10.05.1986,11,1,0
10.05.1986,12,1,0
10.05.1986,16,1,0
10.05.1986,21,0,1
10.05.1986,27,0,1
10.05.1986,32,1,0
17.05.1986,5,1,0
17.05.1986,13,1,0
17.05.1986,14,0,1
17.05.1986,18,1,0
17.05.1986,19,1,0
17.05.1986,23,0,1
17.05.1986,25,1,0
17.05.1986,29,1,0
17.05.1986,32,1,0
24.05.1986,2,1,0
24.05.1986,3,1,0
24.05.1986,4,1,0
24.05.1986,8,1,0
24.05.1986,11,0,1
24.05.1986,14,0,1
24.05.1986,15,1,0
24.05.1986,20,1,0
24.05.1986,25,1,0
31.05.1986,2,1,0
31.05.1986,5,1,0
31.05.1986,8,1,0
31.05.1986,14,1,0
31.05.1986,17,0,1
31.05.1986,24,1,0
31.05.1986,25,1,0
31.05.1986,29,0,1
31.05.1986,31,1,0
07.06.1986,9,1,0
07.06.1986,12,1,0
07.06.1986,13,1,0
07.06.1986,24,0,1
07.06.1986,28,1,0
07.06.1986,29,0,1
07.06.1986,30,1,0
07.06.1986,31,1,0
07.06.1986,33,1,0
14.06.1986,5,1,0
14.06.1986,7,1,0
14.06.1986,9,1,0
14.06.1986,15,0,1
14.06.1986,20,1,0
14.06.1986,22,0,1
14.06.1986,28,1,0
14.06.1986,29,1,0
14.06.1986,30,1,0
21.06.1986,1,1,0
21.06.1986,12,1,0
21.06.1986,22,0,1
21.06.1986,23,1,0
21.06.1986,25,1,0
21.06.1986,28,1,0
21.06.1986,31,1,0
21.06.1986,32,0,1
21.06.1986,33,1,0
28.06.1986,4,1,0
28.06.1986,6,1,0
28.06.1986,8,1,0
28.06.1986,13,1,0
28.06.1986,15,0,1
28.06.1986,19,1,0
28.06.1986,24,0,1
28.06.1986,25,1,0
28.06.1986,28,1,0
05.07.1986,2,1,0
05.07.1986,4,1,0
05.07.1986,17,1,0
05.07.1986,18,1,0
05.07.1986,20,1,0
05.07.1986,23,1,0
05.07.1986,30,1,0
05.07.1986,33,0,1
05.07.1986,34,0,1
12.07.1986,2,1,0
12.07.1986,5,1,0
12.07.1986,13,1,0
12.07.1986,14,0,1
12.07.1986,17,0,1
12.07.1986,18,1,0
12.07.1986,20,1,0
12.07.1986,28,1,0
12.07.1986,33,1,0
19.07.1986,4,1,0
19.07.1986,7,1,0
19.07.1986,8,1,0
19.07.1986,12,1,0
19.07.1986,22,0,1
19.07.1986,23,0,1
19.07.1986,24,1,0
19.07.1986,28,1,0
19.07.1986,29,1,0
26.07.1986,2,1,0
26.07.1986,4,1,0
26.07.1986,5,1,0
26.07.1986,12,1,0
26.07.1986,14,1,0
26.07.1986,17,0,1
26.07.1986,25,0,1
26.07.1986,28,1,0
26.07.1986,30,1,0
02.08.1986,7,1,0
02.08.1986,9,1,0
02.08.1986,18,1,0
02.08.1986,23,1,0
02.08.1986,24,0,1
02.08.1986,25,1,0
02.08.1986,26,1,0
02.08.1986,29,0,1
02.08.1986,31,1,0
09.08.1986,5,0,1
09.08.1986,7,0,1
09.08.1986,10,1,0
09.08.1986,18,1,0
09.08.1986,20,1,0
09.08.1986,25,1,0
09.08.1986,29,1,0
09.08.1986,30,1,0
09.08.1986,32,1,0
16.08.1986,8,1,0
16.08.1986,13,1,0
16.08.1986,16,0,1
16.08.1986,18,1,0
16.08.1986,23,0,1
16.08.1986,25,1,0
16.08.1986,27,1,0
16.08.1986,28,1,0
16.08.1986,34,1,0
23.08.1986,2,1,0
23.08.1986,7,1,0
23.08.1986,9,0,1
23.08.1986,13,0,1
23.08.1986,14,1,0
23.08.1986,19,1,0
23.08.1986,20,1,0
23.08.1986,28,1,0
23.08.1986,34,1,0
30.08.1986,1,1,0
30.08.1986,8,0,1
30.08.1986,11,0,1
30.08.1986,12,1,0
30.08.1986,13,1,0
30.08.1986,20,1,0
30.08.1986,21,1,0
30.08.1986,23,1,0
30.08.1986,27,1,0
06.09.1986,7,1,0
06.09.1986,11,1,0
06.09.1986,12,1,0
06.09.1986,15,1,0
06.09.1986,20,1,0
06.09.1986,21,1,0
06.09.1986,24,1,0
06.09.1986,25,0,1
06.09.1986,27,0,1
13.09.1986,2,1,0
13.09.1986,9,0,1
13.09.1986,13,1,0
13.09.1986,17,0,1
13.09.1986,19,1,0
13.09.1986,20,1,0
13.09.1986,30,1,0
13.09.1986,31,1,0
13.09.1986,32,1,0
20.09.1986,1,1,0
20.09.1986,2,1,0
20.09.1986,9,1,0
20.09.1986,12,1,0
20.09.1986,20,1,0
20.09.1986,23,1,0
20.09.1986,25,0,1
20.09.1986,31,1,0
20.09.1986,34,0,1
27.09.1986,1,1,0
27.09.1986,5,1,0
27.09.1986,8,0,1
27.09.1986,17,1,0
27.09.1986,18,0,1
27.09.1986,22,1,0
27.09.1986,27,1,0
27.09.1986,30,1,0
27.09.1986,34,1,0
04.10.1986,5,1,0
04.10.1986,10,1,0
04.10.1986,11,1,0
04.10.1986,16,0,1
04.10.1986,18,1,0
04.10.1986,20,0,1
04.10.1986,22,1,0
04.10.1986,32,1,0
04.10.1986,34,1,0
11.10.1986,1,1,0
11.10.1986,5,0,1
11.10.1986,6,1,0
11.10.1986,8,1,0
11.10.1986,10,1,0
11.10.1986,26,1,0
11.10.1986,27,1,0
11.10.1986,28,0,1
11.10.1986,29,1,0
